molecule_name,conformation_name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,class
59,3270,4,7,8,4,6,10,6,6,4,7,8,5,1,1,2,5,7,4,4,2,1,4,1,4,4,4,10,7,6,8,4,7,7,11,6,6,5,5,6,12,10,7,4,2,3,3,12,4,4,4,2,6,5,6,5,4,5,10,11,9,3,4,6,6,9,8,4,6,5,6,8,6,3,9,5,5,9,2,7,6,4,3,5,2,5,6,7,3,8,7,9,4,6,3,8,5,9,7,6,8,8,5,8,2,1,7,5,2,3,1,5,5,9,4,7,6,10,3,7,10,6,3,4,9,7,8,4,11,2,9,6,8,3,10,1,9,12,6,3,4,2,7,8,6,3,7,7,9,8,10,8,6,0,5,6,11,9,7,9,10,6,2,9,7,8,8,0
72,3683,5,5,7,4,6,12,12,6,9,8,8,5,1,5,7,9,10,4,4,6,9,10,6,6,3,4,7,9,6,5,4,7,3,9,0,7,4,4,5,13,7,3,3,10,2,3,11,7,6,8,2,8,6,3,3,6,8,9,9,7,6,3,8,5,13,9,6,6,3,6,5,4,5,7,5,11,10,5,7,8,5,7,5,10,7,12,7,9,11,6,9,4,0,3,0,7,9,9,7,7,4,3,8,6,6,10,5,5,6,2,5,8,10,8,4,6,8,11,9,8,5,4,5,8,5,7,4,10,6,6,2,13,3,5,8,11,8,6,4,4,2,5,9,9,3,3,7,11,8,9,0,4,1,4,6,9,4,7,7,6,6,4,10,5,7,13,0
81,3854,0,8,5,8,6,9,8,3,5,7,1,3,1,8,8,11,3,2,5,5,7,10,3,9,5,7,9,3,10,3,4,4,10,10,8,1,6,4,5,8,8,3,3,1,4,3,6,1,7,1,2,8,6,6,5,5,9,6,9,4,1,3,0,4,7,0,4,7,3,6,5,4,2,4,4,11,8,1,8,12,5,7,5,11,3,10,6,8,8,3,9,0,6,5,0,2,7,8,4,7,5,4,9,3,9,2,5,4,1,4,4,10,2,7,2,1,7,10,8,3,6,3,4,1,5,1,2,11,1,4,0,2,1,9,7,8,8,6,4,4,2,4,5,3,3,3,9,7,6,9,5,3,3,4,6,9,7,7,2,9,6,12,0,0,4,10,0
5,1247,4,13,10,8,8,9,13,13,8,12,15,12,1,8,8,12,14,4,12,8,9,10,12,8,8,13,13,13,11,9,5,7,14,10,6,6,6,4,10,13,10,7,3,14,9,3,11,11,11,11,2,7,11,6,10,8,13,9,14,9,4,7,9,7,7,11,3,7,5,6,10,9,11,10,4,7,12,15,12,12,5,14,5,11,12,10,12,12,15,7,9,4,6,5,4,5,11,10,12,13,10,7,9,3,9,6,4,12,8,10,8,14,10,7,12,13,13,12,11,15,11,6,4,9,10,8,10,11,8,8,6,13,3,12,12,14,14,10,8,8,2,11,14,10,5,9,10,11,8,13,11,11,4,5,6,13,4,7,10,4,6,13,14,12,8,14,1
29,6364,2,5,8,4,4,10,12,9,10,8,7,5,1,5,4,8,14,10,4,6,9,7,6,6,1,10,7,11,3,2,5,4,7,9,8,7,3,4,4,7,6,10,6,10,5,3,2,6,4,4,2,9,6,3,5,6,8,10,7,7,3,4,8,5,13,13,6,3,2,6,8,6,5,7,5,8,10,8,7,8,5,7,5,15,7,10,7,9,3,4,9,7,8,6,6,12,9,9,5,7,8,6,8,6,6,10,5,11,3,2,5,10,10,13,4,6,3,4,9,13,2,3,7,7,12,11,4,10,6,6,1,12,3,5,8,10,15,5,6,6,2,12,5,9,6,6,8,10,11,8,9,12,1,9,13,7,6,5,7,14,6,1,14,2,11,11,1
71,3563,5,5,7,10,6,12,12,6,3,8,8,5,1,5,4,9,1,1,4,2,9,7,6,6,3,4,7,12,6,5,4,7,10,9,7,7,4,4,5,13,7,3,3,10,2,3,11,6,4,8,2,7,6,3,3,6,8,9,9,7,6,3,5,5,8,9,6,6,3,6,5,4,5,7,5,11,5,5,7,1,5,7,5,10,7,7,7,9,9,6,9,4,8,3,12,7,9,2,7,7,4,3,8,6,6,10,7,1,3,1,2,8,6,3,4,6,8,11,9,8,5,4,5,8,5,7,4,10,6,7,5,8,3,5,8,7,4,6,4,4,2,5,5,3,3,3,9,11,8,9,5,9,1,4,6,9,9,5,7,6,6,4,5,5,7,13,0
54,2650,3,3,3,3,8,5,5,6,4,4,8,5,1,6,6,5,4,7,4,4,4,1,4,4,2,4,4,3,2,8,3,4,4,7,9,1,6,2,6,12,1,5,4,7,5,3,5,0,4,4,2,3,5,0,2,3,1,2,2,3,4,4,2,6,7,1,4,3,5,6,1,3,3,7,5,11,4,5,7,8,4,6,5,2,4,6,5,3,8,1,2,4,4,6,2,1,9,5,6,1,0,3,5,6,6,6,5,7,5,2,3,5,4,5,9,10,2,3,6,3,4,6,3,7,2,8,4,6,6,4,4,2,3,12,6,9,5,6,3,4,2,7,4,7,1,2,4,2,2,2,1,3,0,2,6,2,7,7,7,4,6,11,6,6,4,2,0
20,3519,5,5,5,10,6,9,12,6,9,8,8,5,1,3,6,3,10,4,4,4,12,10,6,6,3,3,7,9,6,7,4,10,10,9,7,7,6,4,5,14,7,8,3,7,6,3,11,11,4,8,1,8,6,3,4,10,8,9,9,7,5,3,7,5,10,9,6,6,3,6,5,4,5,7,5,11,10,12,7,8,5,7,5,15,7,10,7,4,8,6,5,7,8,7,7,10,9,8,13,7,4,3,8,6,6,7,5,4,6,2,5,8,6,8,4,6,8,7,9,8,5,4,10,9,9,7,4,10,6,6,3,10,2,10,9,7,8,6,6,6,2,5,9,9,3,3,7,10,8,8,5,9,1,4,12,9,4,7,7,8,7,10,10,12,8,12,1
81,4092,0,4,7,8,6,9,12,7,0,7,9,1,1,2,8,11,10,7,2,5,7,6,6,9,0,2,7,9,4,3,4,4,10,10,8,0,6,4,5,11,7,3,3,8,9,2,11,6,7,1,2,8,6,7,5,7,8,9,9,4,1,3,0,4,7,0,4,6,3,6,5,4,2,10,4,11,10,11,3,2,5,7,2,11,3,10,7,6,8,3,9,1,6,5,0,2,4,8,7,7,4,3,9,1,4,9,5,5,8,3,6,8,10,6,2,1,7,7,5,8,6,3,4,1,5,0,2,11,1,4,0,2,3,7,7,7,8,6,4,4,2,5,7,4,3,3,9,7,6,9,5,3,3,4,6,9,7,7,2,9,6,10,6,2,0,4,0
59,3230,4,5,5,10,6,12,12,5,3,7,8,5,1,6,4,3,10,3,4,4,9,7,6,6,3,9,7,12,6,0,4,7,13,11,8,2,7,4,7,4,7,2,5,4,6,8,11,9,6,4,2,7,6,3,3,8,8,9,9,9,5,3,9,0,8,6,4,3,6,6,4,5,5,7,5,11,5,5,7,8,5,7,5,15,4,7,12,9,11,4,5,4,8,4,4,5,9,2,4,7,4,5,8,2,3,6,5,6,6,2,5,10,6,3,1,6,8,9,9,8,2,7,1,7,10,4,8,6,3,7,1,5,1,5,6,11,8,6,6,4,2,5,5,3,3,3,7,10,5,4,9,9,1,4,10,9,4,7,7,3,6,9,4,6,5,11,0
