molecule_name,conformation_name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,class
59,3270,3,11,13,10,8,12,7,10,6,10,15,6,5,2,4,4,12,8,4,3,3,3,1,9,8,5,16,11,10,14,6,11,10,17,10,11,11,8,9,15,17,9,4,3,5,5,18,6,5,10,3,9,5,2,5,10,0,10,16,12,5,10,8,9,12,7,5,11,8,8,11,15,5,8,7,7,14,2,7,9,4,4,5,2,11,7,9,7,11,9,18,4,1,5,10,9,11,14,14,11,15,7,9,8,1,11,8,6,2,3,11,7,15,4,12,11,10,5,8,18,13,5,12,14,13,11,7,19,5,14,7,16,5,15,1,15,16,6,4,3,2,10,13,8,4,8,9,14,10,15,13,14,2,8,9,14,16,12,12,14,10,8,11,9,11,11,0
72,3683,5,7,11,5,8,11,16,10,15,12,15,6,5,10,9,18,16,8,4,8,16,15,10,11,4,7,12,14,10,9,6,7,0,13,0,12,8,5,5,19,10,11,7,18,6,5,16,9,7,11,3,16,9,5,6,8,9,13,15,9,10,5,9,11,20,9,7,11,6,8,8,7,12,6,7,17,13,8,7,12,7,13,5,13,12,18,9,13,17,8,13,4,0,5,0,20,11,12,10,12,7,10,11,10,9,17,8,14,8,5,11,10,18,12,8,11,9,21,19,11,7,6,9,11,14,10,5,20,10,8,3,18,5,7,11,14,10,6,7,3,2,7,14,15,4,3,10,18,10,12,0,0,4,5,9,11,5,14,10,4,7,8,16,7,10,23,0
81,3854,0,13,5,13,8,9,8,2,8,10,0,4,5,9,10,17,4,6,5,7,6,13,3,10,7,6,11,6,11,3,6,4,15,16,15,1,9,4,5,10,13,2,3,1,2,5,10,1,8,2,3,11,9,10,5,7,12,8,12,4,4,5,0,6,9,0,5,10,6,8,8,7,10,3,5,17,10,0,8,15,7,13,5,19,5,15,7,10,19,3,13,0,1,6,0,4,9,9,4,12,6,9,10,3,15,4,6,12,1,6,9,6,1,11,2,1,11,12,11,6,5,2,6,0,2,1,2,19,2,1,0,1,4,10,7,10,10,6,2,2,2,5,8,7,4,3,14,6,8,12,7,2,0,5,9,11,10,12,2,16,7,14,0,0,8,17,0
5,1247,3,21,18,13,9,9,23,23,19,17,25,20,5,16,10,12,27,8,14,14,11,15,20,15,13,19,19,23,20,17,8,11,25,16,14,11,9,5,14,19,17,9,7,25,24,5,21,16,15,16,3,14,16,10,9,12,21,13,22,16,8,13,16,20,13,14,4,16,8,8,17,20,22,17,5,11,19,22,18,19,7,23,5,19,23,15,18,19,27,14,13,4,12,6,9,9,17,22,23,20,9,15,10,7,15,9,7,25,14,18,13,22,18,14,21,24,23,23,20,25,21,15,12,14,16,15,17,19,12,11,14,18,7,20,21,18,20,14,14,13,2,17,25,18,8,12,15,17,13,19,17,19,6,8,9,21,9,12,18,8,10,19,23,19,14,24,1
29,6364,1,7,16,10,4,12,16,13,20,12,11,6,5,10,7,5,27,18,4,8,11,11,10,11,1,15,12,17,4,4,8,13,10,13,15,9,6,5,6,12,6,12,11,16,9,5,13,14,5,6,3,17,9,5,5,8,14,10,19,14,6,6,18,11,20,15,7,9,3,8,16,11,12,6,7,15,13,15,7,12,7,13,5,20,12,15,9,16,6,7,13,10,13,7,8,23,11,16,13,8,15,8,11,10,9,17,8,22,2,5,8,19,17,19,8,11,2,13,14,22,3,5,11,10,23,24,5,20,10,19,5,21,7,7,11,12,22,4,6,6,2,15,8,10,9,7,17,9,17,10,8,18,1,16,20,10,7,8,10,25,10,3,23,3,18,21,1
71,3563,5,7,11,17,8,11,16,10,10,12,16,6,5,10,7,15,2,1,4,3,11,11,10,11,4,5,12,22,10,9,6,7,15,13,12,12,8,5,5,19,10,11,7,18,6,5,21,14,5,11,3,14,9,4,6,8,9,13,15,9,10,5,7,11,14,9,7,11,6,8,8,7,12,6,7,17,5,8,7,0,7,13,5,13,12,8,9,16,10,8,13,4,13,5,15,10,11,2,10,12,7,10,11,10,9,14,9,2,2,3,1,10,5,3,8,11,9,21,19,11,7,6,9,11,14,10,5,20,10,10,6,16,5,7,11,9,4,6,7,3,2,7,8,3,4,3,13,17,10,12,11,13,4,5,9,11,12,8,10,4,7,8,7,7,10,23,0
54,2650,2,4,2,3,9,4,9,10,6,3,15,6,5,11,8,13,9,13,4,5,4,0,7,5,2,5,5,6,7,16,3,4,4,10,17,1,9,1,3,15,0,5,4,13,9,5,9,0,5,10,3,4,5,0,2,4,3,2,2,11,8,6,3,17,9,2,5,4,2,8,2,2,8,12,7,18,8,7,7,12,4,10,5,2,8,7,6,7,11,1,2,4,6,7,1,2,14,8,6,1,0,10,8,10,12,9,8,10,3,2,6,7,7,8,17,17,1,5,7,6,4,4,3,10,3,11,5,8,10,7,4,1,5,20,6,7,3,6,4,3,2,10,7,11,2,6,0,2,2,2,2,7,2,3,9,0,10,12,10,8,7,13,9,6,1,1,0
20,3519,5,7,5,17,8,14,16,10,15,12,15,6,5,7,8,7,16,11,4,5,17,15,10,11,4,4,12,14,10,10,6,16,15,13,12,9,9,5,5,20,10,10,3,13,7,5,16,16,3,11,2,16,9,5,4,14,9,13,12,9,9,5,13,11,15,9,7,11,6,8,8,7,12,6,7,17,13,16,7,12,7,13,5,25,12,10,9,8,11,10,11,10,13,13,7,12,14,9,20,12,7,10,11,10,9,11,8,12,8,5,11,8,13,12,8,11,9,15,19,11,7,6,13,9,18,10,5,17,10,8,2,13,6,15,18,9,10,6,6,6,2,7,14,15,4,3,10,15,13,10,11,13,4,5,17,11,9,12,10,12,12,11,16,18,14,18,1
81,4092,0,3,7,13,8,9,16,15,2,10,13,1,5,1,10,17,16,13,2,7,10,8,10,10,0,2,6,14,5,3,6,4,15,16,15,0,9,5,5,11,10,2,3,11,10,9,16,8,4,2,3,11,9,8,5,6,9,13,12,4,1,5,0,6,9,0,5,11,6,5,5,7,10,11,5,17,13,18,2,1,7,13,0,19,5,10,9,9,19,3,13,2,1,6,0,4,7,9,8,12,7,10,10,0,6,12,8,8,9,4,12,10,17,6,2,1,11,7,9,11,5,2,6,0,2,0,2,19,2,1,0,1,7,11,7,9,10,6,7,3,2,7,6,5,4,3,14,12,8,12,7,2,0,5,9,11,10,12,2,16,7,11,9,1,0,0,0
59,3230,3,7,5,17,8,17,16,0,10,4,15,6,1,12,7,7,19,7,4,5,11,11,10,11,4,11,12,22,10,0,6,7,20,17,15,4,13,5,8,5,10,8,5,4,7,7,21,12,7,6,3,14,11,5,6,12,9,13,15,12,11,4,12,3,14,5,5,4,9,8,6,8,7,6,7,17,5,8,7,12,7,11,5,20,8,8,14,13,17,7,11,4,13,4,9,9,11,2,11,12,7,11,11,4,2,9,6,4,8,5,11,19,5,3,4,11,9,17,14,11,3,8,2,15,16,8,13,8,7,10,5,7,4,7,6,14,10,6,6,3,2,7,8,3,4,3,9,15,9,4,16,17,4,6,10,11,9,12,10,3,10,12,8,10,13,16,0
