disc_compare,wtest_stat,p_value,model,metric
ewd vs efd,270.0,0.008192932302465851,ID3,bias
ewd vs ffd,278.0,0.17466640990782234,ID3,bias
ewd vs cm,257.5,0.30354361298275256,ID3,bias
ewd vs dt,304.0,0.0706894947725511,ID3,bias
efd vs ewd,81.0,0.9918070676975341,ID3,bias
efd vs ffd,224.5,0.5653513250639666,ID3,bias
efd vs cm,197.5,0.7642159366395309,ID3,bias
efd vs dt,243.0,0.41450651584733494,ID3,bias
ffd vs ewd,187.0,0.8253335900921777,ID3,bias
ffd vs efd,240.5,0.4346486749360335,ID3,bias
ffd vs cm,100.0,0.9837601387442666,ID3,bias
ffd vs dt,225.0,0.3081956555503216,ID3,bias
cm vs ewd,207.5,0.6964563870172474,ID3,bias
cm vs efd,267.5,0.2357840633604691,ID3,bias
cm vs ffd,278.0,0.01623986125573343,ID3,bias
cm vs dt,271.0,0.12366170274107757,ID3,bias
dt vs ewd,161.0,0.9293105052274488,ID3,bias
dt vs efd,222.0,0.585493484152665,ID3,bias
dt vs ffd,181.0,0.6918043444496784,ID3,bias
dt vs cm,164.0,0.8763382972589224,ID3,bias
