disc_compare,wtest_stat,p_value,model,metric
ewd vs efd,1925.5,0.04565883654435613,all,bias
ewd vs ffd,1909.0,0.05393236538219554,all,bias
ewd vs cm,1918.0,0.030037500594566172,all,bias
ewd vs dt,2060.0,0.009493047145439557,all,bias
efd vs ewd,1234.5,0.9543411634556439,all,bias
efd vs ffd,1514.5,0.47368592869109516,all,bias
efd vs cm,1723.0,0.18167655436121966,all,bias
efd vs dt,1797.5,0.10026144164982764,all,bias
ffd vs ewd,1251.0,0.9460676346178044,all,bias
ffd vs efd,1488.5,0.5263140713089048,all,bias
ffd vs cm,1692.0,0.29206685133102217,all,bias
ffd vs dt,1790.5,0.15180227779346,all,bias
cm vs ewd,1163.0,0.9699624994054338,all,bias
cm vs efd,1358.0,0.8183234456387803,all,bias
cm vs ffd,1468.0,0.7079331486689778,all,bias
cm vs dt,1662.0,0.27253213679081834,all,bias
dt vs ewd,1100.0,0.9905069528545605,all,bias
dt vs efd,1283.5,0.8997385583501724,all,bias
dt vs ffd,1369.5,0.84819772220654,all,bias
dt vs cm,1419.0,0.7274678632091817,all,bias
