disc_compare,wtest_stat,p_value,model,metric
ewd vs efd,75.0,0.4180210391652752,ID3,accuracy
ewd vs ffd,178.5,0.398864977224319,ID3,accuracy
ewd vs cm,170.0,0.19844398957544607,ID3,accuracy
ewd vs dt,147.5,0.08032255953504319,ID3,accuracy
efd vs ffd,224.0,0.8611580009098768,ID3,accuracy
efd vs cm,223.5,0.853065798570636,ID3,accuracy
efd vs dt,174.5,0.3522647019764642,ID3,accuracy
ffd vs cm,170.0,0.646463239654966,ID3,accuracy
ffd vs dt,92.5,0.03491799748137262,ID3,accuracy
cm vs dt,183.5,0.3132198602327233,ID3,accuracy
