disc_compare,wtest_stat,p_value,model,metric
ewd vs efd,2.5,0.02778578270530869,KNN-Hamming,accuracy
ewd vs ffd,28.5,0.4697265625,KNN-Hamming,accuracy
ewd vs cm,33.5,0.67724609375,KNN-Hamming,accuracy
ewd vs dt,38.5,1.0,KNN-Hamming,accuracy
efd vs ffd,26.0,0.33935546875,KNN-Hamming,accuracy
efd vs cm,34.0,0.7333984375,KNN-Hamming,accuracy
efd vs dt,37.5,0.9697265625,KNN-Hamming,accuracy
ffd vs ewd,28.5,0.423828125,KNN-Hamming,accuracy
ffd vs cm,24.0,0.26611328125,KNN-Hamming,accuracy
ffd vs dt,18.0,0.18209832226931288,KNN-Hamming,accuracy
dt vs efd,37.5,0.90966796875,KNN-Hamming,accuracy
