disc_compare,wtest_stat,p_value,model,metric
ewd vs efd,46.0,0.1593780517578125,KNN,variance
ewd vs ffd,43.0,0.120208740234375,KNN,variance
ewd vs cm,42.0,0.17881002646274535,KNN,variance
ewd vs dt,73.0,0.8899688720703125,KNN,variance
efd vs ffd,21.0,0.00665283203125,KNN,variance
efd vs cm,25.0,0.026183648097068732,KNN,variance
efd vs dt,54.0,0.3060455322265625,KNN,variance
ffd vs cm,65.0,0.6112213134765625,KNN,variance
ffd vs dt,52.0,0.2633209228515625,KNN,variance
cm vs dt,38.5,0.12709364815965674,KNN,variance
