dataset,disc,param, inconsistency ,models,con_features,size,time_disc,accuracy,time_train,bias,variance
iris,EWD,4,0.0667,ID3,4,150,0.0164,0.84,0.008698225,0.158,0.055
iris,EWD,7,0.02,ID3,4,150,0.0157,0.79,0.010634899,0.158,0.054
iris,EWD,10,0.0067,ID3,4,150,0.0164,0.95,0.010643005,0.053,0.014
iris,EFD,4,0.04,ID3,4,150,0.0167,0.84,0.009439945,0.158,0.049
iris,EFD,7,0.04,ID3,4,150,0.0239,0.95,0.010675907,0.053,0.07
iris,EFD,10, - ,ID3,4,150,0.019,0.92,0.011312246,0.053,0.087
iris,FFD,10, - ,ID3,4,150,0.0194,0.95,0.012059927,0.053,0.032
iris,FFD,30,0.0067,ID3,4,150,0.0171,0.97,0.013934851,0.053,0.082
iris,FFD,60,0.1867,ID3,4,150,0.0161,0.87,0.010174036,0.132,0.059
iris,FFD,100,0.1867,ID3,4,150,0.0165,0.87,0.013417006,0.132,0.059
iris,ChiMerge,6,0.0133,ID3,4,150,1.5299,0.95,0.021643,0.053,0.002
iris,ChiMerge,8,0.0007,ID3,4,150,1.7432,0.95,0.023897,0.053,0.003
iris,ChiMerge,10, - ,ID3,4,150,1.6039,0.95,0.025766,0.053,0.005
iris,ChiMerge,15, - ,ID3,4,150,1.5315,0.95,0.0224986,0.053,0.012
iris,DT,2,0.02,ID3,4,150,0.1033,0.97,0.01498,0.026,0.041
iris,DT,3,0.0533,ID3,4,150,0.0823,0.84,0.01839733,0.158,0.104
iris,DT,4,0.0467,ID3,4,150,0.0761,0.87,0.0172424,0.132,0.074
iris,DT,5,0.04,ID3,4,150,0.0773,0.87,0.018237,0.132,0.073
iris,EWD,4,0.0667,CNB,4,150,0.0164,0.89,0.0073,0.105,0.008
iris,EWD,7,0.02,CNB,4,150,0.0157,0.92,0.0066,0.079,0.023
iris,EWD,10,0.0067,CNB,4,150,0.0164,0.95,0.0064,Index out of bounds,Index out of bounds
iris,EFD,4,0.04,CNB,4,150,0.0167,0.89,0.0067,0.105,0.022
iris,EFD,7,0.04,CNB,4,150,0.0239,0.95,0.0074,0.053,0.025
iris,EFD,10, - ,CNB,4,150,0.019,0.95,0.008,0.053,0.046
iris,FFD,10, - ,CNB,4,150,0.0194,0.97,0.0061,0.026,0.039
iris,FFD,30,0.0067,CNB,4,150,0.0171,0.92,0.0067,0.079,0.061
iris,FFD,60,0.1867,CNB,4,150,0.0161,0.76,0.0084,0.237,0.059
iris,FFD,100,0.1867,CNB,4,150,0.0165,0.76,0.0085,0.237,0.059
iris,ChiMerge,6,0.0133,CNB,4,150,1.5299,0.95,0.0199,0.053,0.012
iris,ChiMerge,8,0.0007,CNB,4,150,1.7432,0.95,0.022,0.053,0.016
iris,ChiMerge,10, - ,CNB,4,150,1.6039,1,0.0171,0,0
iris,ChiMerge,15, - ,CNB,4,150,1.5315,0.97, Index out of bounds ,0.026,0.02
iris,DT,2,0.02,CNB,4,150,0.1033,0.97,0.0136,0.026,0.005
iris,DT,3,0.0533,CNB,4,150,0.0823,0.89,0.0127,0.105,0.027
iris,DT,4,0.0467,CNB,4,150,0.0761,0.87,0.0125,0.132,0.032
iris,DT,5,0.04,CNB,4,150,0.0773,0.87,0.0095,0.132,0.038
iris,EWD,4,0.0667,Knn-VDM,4,150,0.0164,0.87,0.817338943,0.105,0.035
iris,EWD,7,0.02,Knn-VDM,4,150,0.0157,0.97,0.859704971,0.026,0.04
iris,EWD,10,0.0067,Knn-VDM,4,150,0.0164,0.95,0.856292009,0.053,0.04
iris,EFD,4,0.04,Knn-VDM,4,150,0.0167,0.92,0.846083879,0.105,0.071
iris,EFD,7,0.04,Knn-VDM,4,150,0.0239,0.95,0.849964142,0.053,0.044
iris,EFD,10, - ,Knn-VDM,4,150,0.019,0.95,1.027659893,0.053,0.037
iris,FFD,10, - ,Knn-VDM,4,150,0.0194,0.97,0.917590857,0.026,0.011
iris,FFD,30,0.0067,Knn-VDM,4,150,0.0171,0.95,0.926283121,0.053,0.04
iris,FFD,60,0.1867,Knn-VDM,4,150,0.0161,0.84,1.154718876,0.132,0.189
iris,FFD,100,0.1867,Knn-VDM,4,150,0.0165,0.84,1.119923115,0.132,0.189
iris,ChiMerge,6,0.0133,Knn-VDM,4,150,1.1522,0.95,0.567655087,0.053,0.01
iris,ChiMerge,8,0.0007,Knn-VDM,4,150,1.4965,0.95,0.539030313,0.053,0.041
iris,ChiMerge,10, - ,Knn-VDM,4,150,0.7574,Index out of bounds,Index out of bounds,Index out of bounds,Index out of bounds
iris,ChiMerge,15, - ,Knn-VDM,4,150,0.7467,Index out of bounds,Index out of bounds,Index out of bounds,Index out of bounds
